Date,Open,High,Low,Close,Adj Close,Volume
2020-10-07,1.310000,1.310000,1.310000,1.310000,0.042540,0
2020-10-08,1.310000,1.310000,1.310000,1.310000,0.042540,0
2020-10-09,1.310000,1.310000,1.310000,1.310000,0.042540,0
2020-10-12,1.310000,1.310000,1.310000,1.310000,0.042540,0
2020-10-13,1.310000,1.310000,1.310000,1.310000,0.042540,0
2020-10-14,1.310000,1.310000,1.310000,1.310000,0.042540,0
2020-10-15,1.310000,1.310000,1.310000,1.310000,0.042540,0
2020-10-16,1.310000,1.310000,1.310000,1.310000,0.042540,0
2020-10-19,1.310000,1.310000,1.310000,1.310000,0.042540,0
2020-10-20,1.310000,1.310000,1.310000,1.310000,0.042540,0
2020-10-21,1.310000,1.310000,1.310000,1.310000,0.042540,0
2020-10-22,1.310000,1.310000,1.310000,1.310000,0.042540,0
2020-10-23,1.310000,1.310000,1.310000,1.310000,0.042540,0
2020-10-26,1.310000,1.310000,1.310000,1.310000,0.042540,0
2020-10-27,1.310000,1.310000,1.310000,1.310000,0.042540,0
2020-10-28,1.310000,1.310000,1.310000,1.310000,0.042540,0
2020-10-29,1.310000,1.310000,1.310000,1.310000,0.042540,0
2020-10-30,1.310000,1.310000,1.310000,1.310000,0.135920,0
2020-11-02,1.310000,1.310000,1.310000,1.310000,0.135920,0
2020-11-03,1.310000,1.310000,1.310000,1.310000,0.135920,0
2020-11-04,1.310000,1.310000,1.310000,1.310000,0.135920,0
2020-11-05,1.310000,1.310000,1.310000,1.310000,0.135920,0
2020-11-06,1.310000,1.310000,1.310000,1.310000,0.135920,0
2020-11-09,1.310000,1.310000,1.310000,1.310000,0.135920,0
2020-11-10,1.310000,1.310000,1.310000,1.310000,0.135920,0
2020-11-11,1.310000,1.310000,1.310000,1.310000,0.135920,0
2020-11-12,1.840000,1.840000,1.840000,1.840000,0.190911,450
2020-11-13,1.705000,1.705000,1.705000,1.705000,0.176904,1800
2020-11-16,1.705000,1.705000,1.705000,1.705000,0.176904,0
2020-11-17,1.705000,1.705000,1.705000,1.705000,0.176904,0
2020-11-18,1.705000,1.705000,1.705000,1.705000,0.176904,0
2020-11-19,1.705000,1.705000,1.705000,1.705000,0.176904,0
2020-11-20,1.705000,1.705000,1.705000,1.705000,0.176904,0
2020-11-23,1.705000,1.705000,1.705000,1.705000,0.176904,0
2020-11-24,1.705000,1.705000,1.705000,1.705000,0.176904,0
2020-11-25,1.705000,1.705000,1.705000,1.705000,0.176904,0
2020-11-27,1.705000,1.705000,1.705000,1.705000,0.176904,0
2020-11-30,1.705000,1.705000,1.705000,1.705000,0.176904,0
2020-12-01,1.705000,1.705000,1.705000,1.705000,0.176904,0
2020-12-02,1.705000,1.705000,1.705000,1.705000,0.176904,0
2020-12-03,1.705000,1.705000,1.705000,1.705000,0.176904,0
2020-12-04,1.705000,1.705000,1.705000,1.705000,0.176904,0
2020-12-07,1.705000,1.705000,1.705000,1.705000,0.176904,0
2020-12-08,1.705000,1.705000,1.705000,1.705000,0.176904,0
2020-12-09,1.705000,1.705000,1.705000,1.705000,0.176904,0
2020-12-10,1.705000,1.705000,1.705000,1.705000,0.176904,0
2020-12-11,1.705000,1.705000,1.705000,1.705000,0.176904,0
2020-12-14,1.705000,1.705000,1.705000,1.705000,0.176904,0
2020-12-15,1.680000,1.680000,1.680000,1.680000,0.174310,446
2020-12-16,1.680000,1.680000,1.680000,1.680000,0.174310,0
2020-12-17,1.700000,1.700000,1.700000,1.700000,0.176385,300
2020-12-18,1.700000,1.700000,1.700000,1.700000,0.176385,0
2020-12-21,1.700000,1.700000,1.700000,1.700000,0.176385,0
2020-12-22,1.700000,1.700000,1.700000,1.700000,0.176385,0
2020-12-23,1.700000,1.700000,1.700000,1.700000,0.176385,0
2020-12-24,1.700000,1.700000,1.700000,1.700000,0.176385,0
2020-12-28,1.700000,1.700000,1.700000,1.700000,0.176385,0
2020-12-29,1.700000,1.700000,1.700000,1.700000,0.176385,0
2020-12-30,1.700000,1.700000,1.700000,1.700000,0.176385,0
2020-12-31,1.700000,1.700000,1.700000,1.700000,0.176385,0
2021-01-04,1.700000,1.700000,1.700000,1.700000,0.176385,0
2021-01-05,1.700000,1.700000,1.700000,1.700000,0.176385,0
2021-01-06,1.700000,1.700000,1.700000,1.700000,0.176385,0
2021-01-07,1.700000,1.700000,1.700000,1.700000,0.176385,0
2021-01-08,1.700000,1.700000,1.700000,1.700000,0.176385,0
2021-01-11,1.700000,1.700000,1.700000,1.700000,0.176385,0
2021-01-12,1.700000,1.700000,1.700000,1.700000,0.176385,1550
2021-01-13,1.700000,1.700000,1.700000,1.700000,0.176385,0
2021-01-14,1.700000,1.700000,1.700000,1.700000,0.176385,0
2021-01-15,1.700000,1.700000,1.700000,1.700000,0.176385,0
2021-01-19,1.700000,1.700000,1.700000,1.700000,0.176385,0
2021-01-20,1.700000,1.700000,1.700000,1.700000,0.176385,0
2021-01-21,1.700000,1.700000,1.700000,1.700000,0.176385,0
2021-01-22,1.700000,1.700000,1.700000,1.700000,0.176385,0
